                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5639,                 2.8354,                  2.716,                  0.008,                0.98947,                 0.0469,                0.00944,                 2.5675,                 3.2997,                 3.0955,                0.00014,                0.00014,                0.00014
                      2,                 2.4197,                 3.1042,                 2.6386,                0.05456,                0.18947,                0.04591,                0.01146,                 2.4534,                 3.4257,                 2.5285,             0.00036119,             0.00036119,             0.00036119
                      3,                 2.5003,                 2.7828,                 2.7423,                0.11787,                0.10526,                0.05897,                0.01485,                 2.4723,                   3.29,                 2.5139,             0.00055862,             0.00055862,             0.00055862
                      4,                  2.422,                 2.8026,                 2.6241,                0.12047,                0.18947,                0.07941,                0.01518,                 2.5342,                 3.1477,                 2.5945,             0.00073229,             0.00073229,             0.00073229
                      5,                 2.6328,                 2.9532,                  2.844,                0.20873,                0.22105,                0.14454,                0.03058,                 2.5363,                  2.826,                 2.5687,              0.0008822,              0.0008822,              0.0008822
                      6,                 2.5584,                 3.0141,                 2.7449,                0.25262,                0.26329,                0.13096,                0.02746,                 2.4971,                 2.7923,                 2.5212,              0.0010083,              0.0010083,              0.0010083
                      7,                 2.4581,                 2.8805,                 2.6595,                0.21345,                0.24211,                0.11452,                0.03021,                 2.4523,                 2.8517,                 2.4817,              0.0011107,              0.0011107,              0.0011107
                      8,                 2.6562,                  3.107,                 2.8731,                0.12058,                0.26316,                0.08905,                0.02476,                 2.3266,                 2.8624,                 2.3963,              0.0011894,              0.0011894,              0.0011894
                      9,                 2.2763,                 5.1882,                 2.4646,                0.02845,                0.21053,                0.02338,                0.00497,                 2.4075,                 97.667,                   3.24,               0.001208,               0.001208,               0.001208
                     10,                 2.1108,                  7.598,                 2.0948,                0.02845,                0.21053,                0.02338,                0.00497,                    nan,                    nan,                    nan,               0.001109,               0.001109,               0.001109
                     11,                 2.0364,                 4.3677,                 2.2802,                0.02845,                0.21053,                0.02338,                0.00497,                    nan,                    nan,                    nan,                0.00101,                0.00101,                0.00101
                     12,                 1.8958,                 2.7878,                 2.2217,                0.00122,                0.07368,                0.00029,                0.00012,                    nan,                    nan,                    nan,               0.000911,               0.000911,               0.000911
                     13,                 1.8074,                 2.3317,                 2.0889,                0.09717,                0.09474,                0.01546,                0.00427,                    nan,                    nan,                    nan,               0.000812,               0.000812,               0.000812
                     14,                 1.6537,                 2.1896,                 1.9717,                0.32786,                0.65263,                0.49848,                0.19199,                 2.0372,                 5.1222,                  2.221,               0.000713,               0.000713,               0.000713
                     15,                 1.6718,                  2.139,                 2.0113,                0.53656,                0.68421,                0.61548,                0.20075,                 1.9561,                  3.628,                 2.2232,               0.000614,               0.000614,               0.000614
                     16,                 1.5843,                 2.0131,                 1.8991,                0.51992,                0.68421,                0.61827,                0.35034,                 1.8216,                  3.058,                 1.9975,               0.000515,               0.000515,               0.000515
                     17,                 1.5172,                 1.9932,                 1.8403,                0.62269,                0.64211,                0.69656,                0.40591,                 1.6502,                 2.2931,                 1.8668,               0.000416,               0.000416,               0.000416
                     18,                 1.3214,                 1.7354,                 1.6913,                0.66157,                0.66316,                0.70827,                0.39281,                 1.5841,                 2.1945,                 1.8113,               0.000317,               0.000317,               0.000317
                     19,                 1.3378,                 1.7651,                  1.679,                0.68215,                0.75789,                0.72121,                0.41111,                 1.5619,                 1.9249,                 1.8031,               0.000218,               0.000218,               0.000218
                     20,                 1.3288,                 1.8008,                 1.7114,                0.66497,                0.73684,                0.72172,                0.44029,                 1.5452,                 1.7015,                 1.7964,               0.000119,               0.000119,               0.000119
