                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6061,                 2.9962,                 2.8237,                  0.008,                0.98947,                 0.0469,                0.00944,                 2.5675,                 3.2997,                 3.0955,                0.00014,                0.00014,                0.00014
                      2,                 2.5381,                 3.0016,                 2.6684,                0.05051,                0.16842,                0.04435,                0.01151,                  2.469,                 3.4088,                 2.5381,             0.00037749,             0.00037749,             0.00037749
                      3,                 2.5073,                 2.9093,                 2.6711,                0.08591,                0.09474,                0.05742,                0.01526,                 2.4611,                 3.2713,                 2.4946,             0.00061182,             0.00061182,             0.00061182
                      4,                 2.4369,                 2.8341,                  2.621,                0.10513,                0.15789,                0.07945,                0.01689,                 2.4916,                 3.1032,                 2.5496,             0.00084297,             0.00084297,             0.00084297
                      5,                 2.5993,                 2.9541,                 2.7045,                0.22377,                0.24211,                0.15881,                0.03357,                 2.5684,                 2.8414,                 2.5722,               0.001071,               0.001071,               0.001071
                      6,                 2.5593,                 2.7563,                 2.7852,                0.26676,                0.28724,                0.13424,                0.02685,                 2.5514,                 2.7632,                 2.5544,              0.0012958,              0.0012958,              0.0012958
                      7,                 2.4719,                 2.8732,                  2.683,                 0.2206,                0.27368,                0.12113,                0.03294,                 2.4851,                 2.7973,                 2.5168,              0.0015174,              0.0015174,              0.0015174
                      8,                 2.5374,                 2.9884,                 2.7266,                  0.109,                    0.2,                0.08737,                0.02649,                 2.2774,                 2.8901,                 2.3594,              0.0017359,              0.0017359,              0.0017359
                      9,                 2.5805,                 2.9461,                 2.7669,                0.12445,                0.29474,                0.09417,                0.02667,                 2.2681,                 2.8388,                 2.3493,              0.0018944,              0.0018944,              0.0018944
                     10,                 2.5986,                 3.0159,                 2.7107,                0.13775,                0.28421,                0.11378,                0.02944,                 2.3308,                 2.7953,                 2.3951,              0.0018812,              0.0018812,              0.0018812
                     11,                 2.3752,                 10.701,                 2.6032,                0.00343,                0.74737,                0.00315,                0.00104,                 3.3346,                    inf,                 3.8811,               0.001868,               0.001868,               0.001868
                     12,                 2.6723,                 47.815,                 2.5898,                  4e-05,                0.01053,                  2e-05,                  1e-05,                    nan,                    nan,                    nan,              0.0018548,              0.0018548,              0.0018548
                     13,                 2.4505,                 14.719,                 2.6188,                  4e-05,                0.01053,                  2e-05,                  1e-05,                    nan,                    nan,                    nan,              0.0018416,              0.0018416,              0.0018416
                     14,                  2.078,                 3.1331,                 2.4817,                  4e-05,                0.01053,                  2e-05,                  1e-05,                    nan,                    nan,                    nan,              0.0018284,              0.0018284,              0.0018284
                     15,                 2.0024,                 2.5925,                  2.306,                  4e-05,                0.01053,                  2e-05,                  1e-05,                    nan,                    nan,                    nan,              0.0018152,              0.0018152,              0.0018152
                     16,                 1.9581,                 2.5904,                 2.2616,                  4e-05,                0.01053,                  2e-05,                  1e-05,                    nan,                    nan,                    nan,               0.001802,               0.001802,               0.001802
                     17,                 2.0088,                 2.5003,                 2.2162,                  4e-05,                0.01053,                  2e-05,                  1e-05,                    nan,                    nan,                    nan,              0.0017888,              0.0017888,              0.0017888
                     18,                 1.8972,                 2.5166,                 2.1436,                  4e-05,                0.01053,                  2e-05,                  1e-05,                    nan,                    nan,                    nan,              0.0017756,              0.0017756,              0.0017756
                     19,                 1.9171,                 2.4421,                 2.1041,                  0.017,                0.03158,                0.00442,                0.00176,                    nan,                    nan,                    nan,              0.0017624,              0.0017624,              0.0017624
                     20,                 1.8648,                 2.4079,                 2.0571,                0.02801,                0.14737,                0.03035,                0.00957,                    nan,                    nan,                    nan,              0.0017492,              0.0017492,              0.0017492
                     21,                 1.9187,                 2.3914,                 1.9978,                0.03462,                0.29474,                0.03954,                0.01463,                    nan,                    nan,                    nan,               0.001736,               0.001736,               0.001736
                     22,                 1.8895,                 2.3016,                   1.98,                 0.0226,                0.05263,                0.01793,                0.01003,                 1.5855,                 4.2344,                 2.4425,              0.0017228,              0.0017228,              0.0017228
                     23,                 1.9551,                 2.2288,                  2.053,                0.23305,                0.01053,                0.01825,                0.01095,                    nan,                    nan,                    nan,              0.0017096,              0.0017096,              0.0017096
                     24,                 1.9045,                 2.1273,                 1.9993,                0.20662,                0.24211,                0.09633,                0.02467,                    nan,                    nan,                    nan,              0.0016964,              0.0016964,              0.0016964
                     25,                 1.8037,                 1.9928,                 1.9249,                0.17222,                0.30526,                0.12918,                0.02587,                    nan,                    nan,                    nan,              0.0016832,              0.0016832,              0.0016832
                     26,                 1.7881,                 1.9058,                 1.9178,                0.16621,                0.45263,                0.16427,                0.03384,                 2.9114,                 3.4142,                 5.3672,                0.00167,                0.00167,                0.00167
                     27,                 1.7357,                  1.968,                 1.8673,                0.39823,                0.34737,                0.25368,                0.07407,                 2.4568,                 3.2578,                 3.8849,              0.0016568,              0.0016568,              0.0016568
                     28,                 1.6773,                 1.9156,                   1.77,                0.50722,                0.31579,                0.27121,                0.09442,                 2.4519,                 3.2551,                 3.3566,              0.0016436,              0.0016436,              0.0016436
                     29,                 1.6981,                 1.9594,                 1.7658,                0.38508,                0.30526,                0.23846,                0.08532,                 2.4619,                 3.8962,                 3.3259,              0.0016304,              0.0016304,              0.0016304
