                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     30,                 1.6432,                 1.8423,                 1.7873,                0.24665,                0.53684,                0.20146,                0.05645,                 2.7241,                 2.8348,                 3.4206,              0.0016172,              0.0016172,              0.0016172
                     31,                 1.6766,                 1.7878,                 1.8488,                0.69392,                0.57895,                0.51362,                0.17947,                 2.4245,                 2.5301,                 2.6691,               0.001604,               0.001604,               0.001604
                     32,                 1.5947,                 1.8585,                 1.7801,                0.71576,                0.56842,                0.59104,                0.23151,                 2.2788,                  2.316,                 2.4671,              0.0015908,              0.0015908,              0.0015908
                     33,                 1.5153,                 1.6733,                 1.7459,                0.65536,                0.49474,                 0.5405,                0.21479,                  2.296,                 2.3822,                 2.4921,              0.0015776,              0.0015776,              0.0015776
                     34,                  1.519,                 1.7996,                 1.7071,                0.65647,                0.47368,                0.49956,                0.23539,                 2.1098,                 2.3444,                 2.2934,              0.0015644,              0.0015644,              0.0015644
                     35,                 1.5628,                  1.685,                 1.7863,                0.66404,                0.50526,                0.55316,                0.27661,                 2.0661,                  2.199,                 2.2385,              0.0015512,              0.0015512,              0.0015512
                     36,                 1.5224,                 1.6489,                 1.7656,                0.63667,                0.49474,                0.54069,                0.18623,                 2.2561,                 2.2853,                 2.3871,               0.001538,               0.001538,               0.001538
                     37,                 1.4858,                 1.7867,                 1.7438,                0.64593,                0.57612,                0.58864,                0.23706,                 2.0927,                  2.058,                 2.2586,              0.0015248,              0.0015248,              0.0015248
                     38,                 1.4339,                 1.5393,                 1.7389,                0.71872,                0.62105,                0.62748,                 0.3195,                 2.0676,                 2.4665,                 2.2983,              0.0015116,              0.0015116,              0.0015116
                     39,                 1.4427,                 1.7305,                 1.6891,                0.62279,                0.60829,                 0.5976,                0.30679,                 2.0445,                 2.7875,                 2.3007,              0.0014984,              0.0014984,              0.0014984
                     40,                 1.3795,                 1.5153,                 1.6835,                0.72688,                0.58947,                0.59474,                0.26032,                 2.0308,                 2.3065,                 2.3162,              0.0014852,              0.0014852,              0.0014852
                     41,                 1.3721,                 1.5434,                 1.7015,                0.72994,                0.57895,                 0.5888,                0.24454,                 2.0366,                 2.0385,                 2.3379,               0.001472,               0.001472,               0.001472
                     42,                 1.3782,                 1.5184,                 1.6851,                 0.7536,                0.64211,                0.67432,                0.31023,                 1.9791,                 1.9668,                 2.3576,              0.0014588,              0.0014588,              0.0014588
                     43,                 1.3825,                 1.5513,                 1.6817,                0.77158,                0.69474,                0.75876,                0.37782,                 1.9205,                 1.9369,                 2.3017,              0.0014456,              0.0014456,              0.0014456
                     44,                 1.3502,                 1.4526,                 1.6542,                0.79285,                0.72632,                 0.7565,                0.39353,                 1.7936,                 1.9493,                 2.1082,              0.0014324,              0.0014324,              0.0014324
                     45,                 1.3968,                 1.4943,                 1.7301,                0.77337,                0.70526,                0.76749,                 0.4507,                 1.6143,                 1.6707,                 1.9431,              0.0014192,              0.0014192,              0.0014192
                     46,                 1.2915,                 1.3789,                 1.6622,                 0.7848,                0.71579,                0.78622,                0.44211,                 1.6603,                 1.7063,                 1.9477,               0.001406,               0.001406,               0.001406
                     47,                 1.2522,                 1.4519,                 1.5653,                0.78618,                0.77895,                0.79406,                0.44814,                 1.6809,                 1.6704,                 1.9401,              0.0013928,              0.0013928,              0.0013928
                     48,                 1.2845,                  1.388,                 1.6379,                 0.8292,                0.70526,                0.77729,                0.45111,                 1.7375,                  1.579,                 1.9909,              0.0013796,              0.0013796,              0.0013796
                     49,                 1.2972,                 1.3666,                 1.6616,                0.73552,                0.70526,                0.70403,                0.40281,                 1.7778,                 1.6323,                 2.0426,              0.0013664,              0.0013664,              0.0013664
                     50,                 1.3463,                 1.3944,                 1.6729,                0.74578,                0.67368,                0.68311,                 0.3996,                  1.814,                 1.6452,                 2.0936,              0.0013532,              0.0013532,              0.0013532
                     51,                 1.3901,                 1.4126,                 1.6989,                0.75224,                0.67368,                0.68768,                0.38514,                 1.8426,                 1.6662,                 2.1477,                0.00134,                0.00134,                0.00134
                     52,                 1.3323,                 1.3451,                 1.6421,                0.79673,                0.71579,                0.73252,                0.41641,                 1.7622,                 1.4398,                 2.0663,              0.0013268,              0.0013268,              0.0013268
                     53,                 1.2977,                 1.3599,                 1.6132,                0.78691,                0.71579,                0.73406,                0.40114,                 1.7455,                 1.4289,                 1.9937,              0.0013136,              0.0013136,              0.0013136
                     54,                  1.402,                 1.3626,                 1.7035,                0.79172,                0.75789,                0.74584,                0.39984,                 1.7608,                 1.5478,                 2.0232,              0.0013004,              0.0013004,              0.0013004
                     55,                 1.3706,                 1.3247,                 1.6871,                0.80633,                0.74507,                0.73934,                0.40563,                  1.748,                 1.6336,                 2.0471,              0.0012872,              0.0012872,              0.0012872
                     56,                 1.4077,                 1.4205,                  1.695,                0.79303,                0.72598,                 0.7404,                0.43764,                 1.7998,                 1.6017,                 2.2023,               0.001274,               0.001274,               0.001274
                     57,                 1.3153,                 1.3775,                  1.575,                0.85425,                0.70526,                0.72869,                0.38883,                  1.861,                  1.623,                 2.2098,              0.0012608,              0.0012608,              0.0012608
                     58,                 1.2905,                 1.3077,                  1.583,                0.81862,                0.71266,                0.72061,                0.34332,                  1.947,                 1.5683,                 2.2001,              0.0012476,              0.0012476,              0.0012476
                     59,                 1.2791,                  1.304,                 1.5707,                0.82238,                0.67368,                0.74139,                0.31822,                 1.9471,                 1.4915,                 2.1821,              0.0012344,              0.0012344,              0.0012344
                     60,                 1.3415,                 1.3161,                 1.5879,                0.78205,                0.67989,                0.76315,                0.37811,                 1.8769,                 1.3956,                 2.1271,              0.0012212,              0.0012212,              0.0012212
                     61,                  1.204,                 1.2317,                 1.5596,                0.78525,                0.69474,                0.75624,                0.43864,                 1.7776,                 1.4094,                 2.0809,               0.001208,               0.001208,               0.001208
                     62,                 1.2824,                 1.2823,                 1.6041,                0.82262,                0.72632,                 0.7268,                0.41899,                 1.6931,                 1.4848,                  1.951,              0.0011948,              0.0011948,              0.0011948
                     63,                  1.271,                 1.3094,                 1.5952,                0.82702,                0.75789,                0.75811,                 0.4358,                 1.5769,                 1.4235,                  1.831,              0.0011816,              0.0011816,              0.0011816
                     64,                 1.1978,                  1.197,                 1.5192,                0.81032,                 0.7645,                0.77503,                0.44173,                 1.5608,                 1.3634,                 1.8099,              0.0011684,              0.0011684,              0.0011684
                     65,                 1.1923,                 1.1243,                 1.5464,                0.79057,                0.75501,                0.78091,                0.49605,                 1.5493,                 1.2985,                 1.8166,              0.0011552,              0.0011552,              0.0011552
                     66,                 1.1995,                 1.1918,                 1.4911,                0.79609,                0.73974,                0.76444,                 0.5012,                 1.5374,                 1.3014,                 1.7985,               0.001142,               0.001142,               0.001142
                     67,                  1.218,                 1.1207,                  1.505,                0.79616,                0.74737,                0.75742,                0.50041,                   1.53,                  1.306,                 1.7921,              0.0011288,              0.0011288,              0.0011288
                     68,                 1.0879,                 1.1226,                 1.4783,                0.76657,                0.73684,                0.76296,                0.50326,                 1.5691,                  1.301,                 1.8493,              0.0011156,              0.0011156,              0.0011156
                     69,                 1.2585,                 1.1303,                 1.5918,                0.79326,                0.73684,                0.75849,                0.50448,                 1.6267,                 1.3078,                 1.9178,              0.0011024,              0.0011024,              0.0011024
                     70,                 1.1309,                  1.048,                 1.5306,                0.80676,                0.74737,                0.76052,                0.47853,                 1.6337,                 1.3006,                  1.919,              0.0010892,              0.0010892,              0.0010892
                     71,                 1.2261,                 1.0229,                 1.5812,                0.79495,                0.76842,                0.75455,                0.51457,                 1.5843,                 1.3006,                  1.889,               0.001076,               0.001076,               0.001076
                     72,                 1.2411,                 1.0048,                 1.6031,                0.79906,                0.70526,                0.75636,                0.49099,                  1.608,                 1.3091,                 1.8709,              0.0010628,              0.0010628,              0.0010628
                     73,                 1.1988,                 1.1019,                 1.5043,                0.79617,                0.73684,                0.79002,                0.51545,                 1.6455,                 1.2696,                 1.9523,              0.0010496,              0.0010496,              0.0010496
                     74,                 1.2272,                 1.1222,                 1.4926,                 0.7961,                0.76842,                0.79395,                0.48572,                 1.7533,                 1.2823,                 2.0311,              0.0010364,              0.0010364,              0.0010364
                     75,                 1.1891,                 1.0964,                 1.4983,                0.80471,                0.77895,                0.78197,                0.48376,                 1.7059,                 1.2903,                 1.9774,              0.0010232,              0.0010232,              0.0010232
                     76,                  1.091,                 1.0021,                 1.4613,                0.78985,                0.73684,                0.73541,                0.43585,                 1.6383,                 1.3251,                  1.837,                0.00101,                0.00101,                0.00101
                     77,                 1.2154,                 1.1423,                 1.5281,                0.82276,                0.73684,                0.75346,                0.44416,                 1.6348,                 1.3371,                 1.8186,              0.0009968,              0.0009968,              0.0009968
                     78,                 1.1592,                0.99807,                 1.4947,                0.79897,                0.73684,                0.73937,                0.45765,                 1.6103,                 1.2985,                 1.8012,              0.0009836,              0.0009836,              0.0009836
                     79,                 1.1432,                 1.0337,                 1.4863,                0.81599,                0.79358,                0.76676,                0.42933,                 1.6963,                 1.3372,                 1.9147,              0.0009704,              0.0009704,              0.0009704
                     80,                 1.1564,                 1.0337,                 1.4383,                0.81294,                0.78947,                 0.7888,                 0.4599,                 1.7231,                 1.2634,                 1.9577,              0.0009572,              0.0009572,              0.0009572
                     81,                 1.0778,                0.96972,                 1.4369,                0.82017,                0.71579,                0.76878,                 0.4667,                 2.0189,                 1.4374,                 2.4978,               0.000944,               0.000944,               0.000944
                     82,                 1.1004,                0.91659,                 1.4754,                0.76726,                0.69405,                 0.7335,                0.45108,                  2.008,                 1.4862,                  2.549,              0.0009308,              0.0009308,              0.0009308
                     83,                 1.1502,                 1.0306,                  1.489,                0.77281,                0.75196,                0.76175,                0.48807,                 1.8699,                 1.4366,                 2.3592,              0.0009176,              0.0009176,              0.0009176
                     84,                 1.2116,                0.94927,                 1.5961,                0.76967,                0.78947,                0.74058,                 0.4834,                 1.9192,                 1.4311,                 2.4371,              0.0009044,              0.0009044,              0.0009044
                     85,                 1.0467,                0.87578,                 1.4275,                0.79765,                0.78947,                0.76063,                0.49325,                 1.8747,                 1.3721,                  2.317,              0.0008912,              0.0008912,              0.0008912
                     86,                 1.1589,                0.97241,                 1.5235,                0.81462,                0.78639,                0.75442,                0.48508,                 1.7097,                 1.3354,                 2.0153,               0.000878,               0.000878,               0.000878
                     87,                 1.0985,                0.92254,                 1.4809,                 0.8178,                0.77895,                0.74757,                0.46894,                 1.6658,                 1.2906,                 1.9714,              0.0008648,              0.0008648,              0.0008648
                     88,                 1.0744,                0.95409,                 1.4585,                0.81215,                0.78947,                0.76731,                0.49013,                 1.7215,                 1.3579,                 2.0673,              0.0008516,              0.0008516,              0.0008516
                     89,                 1.1149,                0.88073,                 1.4884,                0.82545,                0.68421,                0.75465,                0.48399,                 1.6809,                 1.3811,                 2.0107,              0.0008384,              0.0008384,              0.0008384
                     90,                 1.0317,                0.91441,                 1.4098,                0.68615,                0.77895,                0.70719,                0.41833,                 1.6585,                 1.3978,                 1.9834,              0.0008252,              0.0008252,              0.0008252
                     91,                 1.1246,                0.95729,                 1.5086,                0.73947,                0.72632,                0.75945,                0.47247,                   1.64,                 1.3436,                 1.9284,               0.000812,               0.000812,               0.000812
                     92,                 1.0273,                 0.8582,                 1.3741,                0.80365,                0.75789,                0.78315,                 0.5006,                 1.6769,                 1.2714,                 2.0105,              0.0007988,              0.0007988,              0.0007988
                     93,                 1.0457,                 0.9377,                 1.4171,                0.82754,                0.75764,                0.79711,                0.51001,                  1.642,                 1.2493,                 1.9565,              0.0007856,              0.0007856,              0.0007856
                     94,                 1.0654,                0.86817,                 1.4079,                 0.8251,                0.73684,                0.78092,                0.51608,                 1.5676,                 1.2427,                  1.852,              0.0007724,              0.0007724,              0.0007724
                     95,                 1.1243,                0.89963,                 1.5084,                0.83147,                0.72706,                0.77705,                0.52796,                  1.548,                 1.2891,                 1.8297,              0.0007592,              0.0007592,              0.0007592
                     96,                 1.0861,                0.83773,                 1.4685,                0.80805,                0.76842,                0.78389,                0.53221,                 1.6096,                 1.3127,                 1.9039,               0.000746,               0.000746,               0.000746
                     97,                 1.1193,                0.88642,                 1.5122,                0.80198,                0.76842,                0.78175,                0.53307,                 1.6476,                 1.3102,                 1.9916,              0.0007328,              0.0007328,              0.0007328
                     98,                 1.0042,                0.76243,                 1.3806,                0.80189,                0.76842,                0.76915,                0.50766,                 1.6674,                 1.2807,                 1.9957,              0.0007196,              0.0007196,              0.0007196
                     99,                 1.0091,                0.78997,                 1.4162,                0.80816,                0.76842,                0.77357,                0.48683,                 1.6451,                 1.2488,                 1.9367,              0.0007064,              0.0007064,              0.0007064
                    100,                 1.0326,                0.79559,                  1.432,                0.83452,                0.79628,                0.77579,                0.47995,                 1.6253,                 1.2669,                 1.9337,              0.0006932,              0.0006932,              0.0006932
                    101,                  1.013,                0.76348,                 1.4281,                  0.811,                0.78947,                0.74974,                0.48223,                  1.634,                 1.2683,                  1.955,                0.00068,                0.00068,                0.00068
                    102,                 1.1051,                0.88727,                 1.4413,                0.80362,                0.77537,                0.75149,                0.50606,                 1.6497,                 1.2803,                 2.0175,              0.0006668,              0.0006668,              0.0006668
                    103,                 1.0393,                0.78661,                  1.397,                0.81705,                0.77895,                0.74215,                0.51523,                 1.6372,                 1.2806,                 2.0136,              0.0006536,              0.0006536,              0.0006536
                    104,                 1.0155,                0.79062,                  1.392,                0.82129,                0.78947,                0.75228,                0.50284,                 1.6082,                 1.2628,                 1.9157,              0.0006404,              0.0006404,              0.0006404
                    105,                 1.0129,                0.80439,                 1.3894,                0.82424,                0.78984,                0.77203,                0.47892,                 1.6239,                 1.2546,                 1.9201,              0.0006272,              0.0006272,              0.0006272
                    106,                 1.0238,                0.76982,                 1.3969,                0.82491,                0.79352,                0.78661,                0.46546,                 1.6262,                 1.2338,                 1.9185,               0.000614,               0.000614,               0.000614
                    107,                0.94506,                0.75788,                 1.3623,                 0.8383,                0.77895,                0.77547,                0.48158,                  1.635,                 1.1999,                  1.939,              0.0006008,              0.0006008,              0.0006008
                    108,                0.94143,                0.74288,                 1.3474,                0.81843,                0.77895,                0.77767,                0.49724,                 1.6314,                 1.2112,                 1.9634,              0.0005876,              0.0005876,              0.0005876
                    109,                0.95866,                0.73447,                 1.3577,                0.81116,                0.78947,                0.78651,                0.51623,                 1.6229,                 1.2079,                 1.9674,              0.0005744,              0.0005744,              0.0005744
                    110,                0.94944,                0.78117,                 1.3541,                0.79721,                0.78947,                0.78657,                0.51869,                 1.5908,                 1.1796,                  1.926,              0.0005612,              0.0005612,              0.0005612
                    111,                0.91778,                0.75335,                  1.364,                0.85037,                0.77773,                0.80626,                0.50495,                 1.6141,                  1.163,                 1.9666,               0.000548,               0.000548,               0.000548
                    112,                0.93099,                0.74332,                 1.3821,                 0.8155,                0.78947,                0.79797,                0.49276,                 1.6368,                 1.1708,                  1.973,              0.0005348,              0.0005348,              0.0005348
                    113,                0.98679,                0.73174,                 1.3544,                0.81599,                0.76842,                0.77591,                0.51918,                  1.635,                  1.211,                 1.9482,              0.0005216,              0.0005216,              0.0005216
                    114,                 1.0272,                0.77748,                 1.4141,                0.77069,                0.77895,                0.77521,                0.52825,                 1.6234,                 1.2498,                 1.9077,              0.0005084,              0.0005084,              0.0005084
                    115,                0.98401,                0.69654,                 1.4085,                0.74512,                0.78947,                0.77127,                0.51537,                 1.6209,                 1.2274,                 1.9075,              0.0004952,              0.0004952,              0.0004952
                    116,                0.96074,                 0.6945,                 1.3708,                0.71146,                0.78947,                 0.7793,                0.52295,                 1.5978,                 1.2349,                  1.886,               0.000482,               0.000482,               0.000482
                    117,                0.98196,                0.73998,                  1.393,                0.71437,                0.77895,                0.75975,                0.51328,                 1.5775,                 1.2207,                 1.8885,              0.0004688,              0.0004688,              0.0004688
                    118,                 1.0023,                0.79104,                 1.3961,                0.74404,                    0.8,                0.76783,                0.50695,                 1.6031,                 1.1843,                 1.9381,              0.0004556,              0.0004556,              0.0004556
                    119,                 1.0803,                 0.7422,                 1.5019,                0.75613,                0.78334,                0.77219,                0.49139,                  1.606,                 1.1715,                 1.9501,              0.0004424,              0.0004424,              0.0004424
                    120,                 0.9614,                0.69292,                  1.351,                0.75466,                0.75789,                0.76504,                0.48178,                 1.6387,                 1.1572,                 1.9813,              0.0004292,              0.0004292,              0.0004292
                    121,                0.96168,                0.75001,                 1.3554,                 0.8105,                0.81053,                0.80323,                0.48506,                 1.6629,                 1.1707,                 1.9846,               0.000416,               0.000416,               0.000416
                    122,                0.87403,                0.67694,                 1.2722,                0.82299,                    0.8,                0.80291,                0.48252,                 1.6726,                 1.1767,                 2.0135,              0.0004028,              0.0004028,              0.0004028
                    123,                0.81793,                0.68848,                 1.2274,                0.83686,                0.81053,                0.78443,                0.49205,                 1.6378,                 1.1938,                 2.0183,              0.0003896,              0.0003896,              0.0003896
                    124,                0.90597,                0.73933,                 1.3088,                0.82169,                0.77895,                0.73407,                0.50325,                 1.5897,                 1.2154,                 2.0304,              0.0003764,              0.0003764,              0.0003764
                    125,                 0.9329,                0.71223,                 1.3499,                0.82164,                0.77586,                0.74187,                0.51915,                 1.5679,                 1.2294,                 2.0149,              0.0003632,              0.0003632,              0.0003632
                    126,                0.87224,                0.67293,                 1.2943,                0.82151,                0.77518,                0.73672,                 0.5152,                 1.5464,                 1.2266,                 1.9631,                0.00035,                0.00035,                0.00035
                    127,                0.89748,                0.62744,                 1.3318,                0.82528,                0.77895,                0.74816,                0.51611,                 1.5382,                 1.2318,                 1.9141,              0.0003368,              0.0003368,              0.0003368
                    128,                0.84546,                0.65315,                  1.296,                 0.8236,                0.78947,                0.76792,                0.51612,                 1.5636,                 1.2108,                 1.9273,              0.0003236,              0.0003236,              0.0003236
                    129,                 0.8861,                0.70064,                 1.3101,                0.82013,                0.78947,                0.77069,                0.51318,                 1.5768,                 1.1972,                  1.931,              0.0003104,              0.0003104,              0.0003104
                    130,                0.90092,                0.63564,                 1.3279,                0.82039,                    0.8,                 0.7828,                 0.5072,                 1.5996,                 1.1869,                 1.9501,              0.0002972,              0.0002972,              0.0002972
                    131,                0.93198,                0.62973,                 1.3503,                0.81461,                0.81053,                 0.7895,                 0.4992,                 1.6109,                 1.1969,                 1.9501,               0.000284,               0.000284,               0.000284
                    132,                 0.8724,                0.61076,                 1.3289,                0.82572,                0.81053,                0.79293,                0.49732,                 1.6086,                 1.2086,                 1.9423,              0.0002708,              0.0002708,              0.0002708
                    133,                0.88293,                0.69092,                 1.2904,                 0.8173,                0.80054,                0.78565,                0.51272,                 1.5959,                  1.204,                  1.945,              0.0002576,              0.0002576,              0.0002576
                    134,                0.82684,                 0.6275,                 1.2682,                0.80684,                    0.8,                 0.7688,                0.52219,                 1.5739,                 1.2168,                 1.9492,              0.0002444,              0.0002444,              0.0002444
                    135,                0.82148,                0.63706,                 1.2647,                0.79576,                0.77927,                0.75096,                0.52892,                  1.558,                 1.2058,                 1.9533,              0.0002312,              0.0002312,              0.0002312
                    136,                0.87198,                0.62667,                 1.2907,                 0.8071,                0.79279,                0.77123,                0.52447,                 1.5447,                 1.1918,                  1.923,               0.000218,               0.000218,               0.000218
                    137,                0.82089,                 0.6673,                 1.2495,                0.81193,                0.78947,                0.77139,                0.52388,                 1.5505,                 1.1874,                  1.908,              0.0002048,              0.0002048,              0.0002048
                    138,                0.88445,                0.62972,                 1.3011,                0.83954,                    0.8,                0.78888,                0.51684,                 1.5612,                 1.1835,                 1.9205,              0.0001916,              0.0001916,              0.0001916
                    139,                0.79292,                0.62003,                 1.2488,                0.83749,                    0.8,                0.78718,                0.52278,                 1.5577,                  1.179,                 1.9287,              0.0001784,              0.0001784,              0.0001784
                    140,                0.82687,                0.68572,                 1.2493,                 0.8245,                0.79126,                0.76988,                0.52298,                 1.5543,                 1.1883,                 1.9494,              0.0001652,              0.0001652,              0.0001652
                    141,                0.80962,                0.63396,                 1.2541,                 0.8205,                0.77895,                0.74943,                0.52401,                 1.5577,                 1.1843,                 1.9774,               0.000152,               0.000152,               0.000152
                    142,                0.88188,                0.62205,                 1.3348,                0.82472,                0.77895,                0.76462,                0.52291,                  1.562,                 1.1859,                 1.9792,              0.0001388,              0.0001388,              0.0001388
                    143,                0.81756,                0.58112,                 1.2869,                0.80648,                0.78964,                0.76477,                0.52214,                 1.5708,                 1.1826,                 1.9772,              0.0001256,              0.0001256,              0.0001256
                    144,                0.78462,                0.61662,                 1.2215,                 0.8034,                0.81731,                 0.7739,                0.50961,                 1.5721,                 1.2069,                 1.9621,              0.0001124,              0.0001124,              0.0001124
                    145,                0.79593,                0.58997,                 1.2546,                0.80342,                 0.8174,                0.77374,                0.50356,                 1.5901,                 1.2063,                 1.9845,               9.92e-05,               9.92e-05,               9.92e-05
                    146,                0.88182,                0.61627,                 1.3271,                0.80343,                0.81748,                0.77361,                0.50576,                 1.5901,                 1.2137,                 1.9869,                8.6e-05,                8.6e-05,                8.6e-05
                    147,                0.78148,                0.58348,                 1.2642,                0.82569,                0.79783,                0.77199,                0.50617,                 1.5931,                 1.2037,                 1.9972,               7.28e-05,               7.28e-05,               7.28e-05
                    148,                0.81952,                0.56794,                 1.2822,                0.82607,                0.79991,                0.77134,                0.51329,                 1.5869,                 1.2091,                 1.9964,               5.96e-05,               5.96e-05,               5.96e-05
                    149,                0.79936,                0.61419,                 1.2733,                0.81986,                    0.8,                0.76958,                0.51277,                 1.5853,                 1.2106,                 2.0095,               4.64e-05,               4.64e-05,               4.64e-05
                    150,                0.84716,                0.61684,                 1.2998,                0.83345,                0.79012,                 0.7692,                0.51355,                 1.5882,                 1.2064,                  2.021,               3.32e-05,               3.32e-05,               3.32e-05
