                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5639,                 2.8354,                  2.716,                  0.008,                0.98947,                 0.0469,                0.00944,                 2.5675,                 3.2997,                 3.0955,                0.00014,                0.00014,                0.00014
                      2,                 2.4197,                 3.1042,                 2.6386,                0.05456,                0.18947,                0.04591,                0.01146,                 2.4534,                 3.4257,                 2.5285,             0.00037248,             0.00037248,             0.00037248
                      3,                 2.5003,                 2.7828,                 2.7423,                0.11787,                0.10526,                0.05897,                0.01485,                 2.4723,                   3.29,                 2.5139,             0.00059545,             0.00059545,             0.00059545
                      4,                  2.422,                 2.8026,                 2.6241,                0.12047,                0.18947,                0.07941,                0.01518,                 2.5342,                 3.1477,                 2.5945,             0.00080892,             0.00080892,             0.00080892
                      5,                 2.6328,                 2.9532,                  2.844,                0.20873,                0.22105,                0.14454,                0.03058,                 2.5363,                  2.826,                 2.5687,              0.0010129,              0.0010129,              0.0010129
                      6,                 2.5584,                 3.0141,                 2.7449,                0.25262,                0.26329,                0.13096,                0.02746,                 2.4971,                 2.7923,                 2.5212,              0.0012073,              0.0012073,              0.0012073
                      7,                 2.4581,                 2.8805,                 2.6595,                0.21345,                0.24211,                0.11452,                0.03021,                 2.4523,                 2.8517,                 2.4817,              0.0013923,              0.0013923,              0.0013923
                      8,                 2.6562,                  3.107,                 2.8731,                0.12058,                0.26316,                0.08905,                0.02476,                 2.3266,                 2.8624,                 2.3963,              0.0015677,              0.0015677,              0.0015677
                      9,                 2.4227,                 7.5601,                 2.5543,                0.02462,                0.43158,                0.02478,                0.00603,                 2.8125,                 415.58,                 3.3757,              0.0016832,              0.0016832,              0.0016832
                     10,                 2.1514,                 10.179,                 2.3267,                0.02462,                0.43158,                0.02478,                0.00603,                    nan,                    nan,                    nan,              0.0016436,              0.0016436,              0.0016436
                     11,                  2.212,                 11.415,                 2.3143,                 0.0123,                0.02105,                0.00117,                0.00025,                 5.8178,                 17.441,                 5.8235,               0.001604,               0.001604,               0.001604
                     12,                 2.1273,                 5.3357,                 2.4245,                 0.0123,                0.02105,                0.00117,                0.00025,                    nan,                    nan,                    nan,              0.0015644,              0.0015644,              0.0015644
